Metric,Value
Success Rate (%),99.80
Mean Reward,311.69
Median Reward,312.14
Std Reward,10.60
Min Reward,-1.78
Max Reward,314.62
Mean Length,729.51

Episode,Reward,Length
1,311.61,742
2,311.28,733
3,312.66,719
4,312.36,733
5,313.01,715
6,311.25,739
7,313.42,712
8,311.79,725
9,312.72,739
10,310.56,742
11,311.67,735
12,312.81,727
13,312.12,727
14,311.07,745
15,312.88,719
16,311.14,744
17,311.78,730
18,312.51,727
19,312.21,727
20,312.44,728
21,312.54,721
22,312.63,727
23,311.98,725
24,310.96,751
25,312.80,732
26,313.20,715
27,312.56,728
28,312.62,727
29,311.55,726
30,311.84,733
31,311.46,737
32,311.16,745
33,313.13,722
34,313.37,719
35,310.68,746
36,312.47,724
37,311.77,727
38,312.81,722
39,313.09,718
40,312.25,727
41,312.36,726
42,312.77,725
43,311.92,720
44,313.01,730
45,310.64,747
46,311.44,744
47,311.82,735
48,311.09,749
49,312.48,722
50,313.19,726
51,311.14,742
52,312.17,717
53,313.05,724
54,312.98,724
55,311.69,733
56,311.36,740
57,313.43,718
58,312.48,727
59,312.17,725
60,311.26,739
61,312.03,727
62,312.10,733
63,313.91,715
64,313.27,724
65,310.85,749
66,311.83,732
67,312.60,723
68,314.11,718
69,312.44,731
70,313.62,724
71,312.79,723
72,312.81,723
73,313.03,726
74,312.75,725
75,312.09,746
76,309.18,765
77,313.11,722
78,310.67,743
79,311.77,741
80,-1.78,287
81,311.84,732
82,311.91,727
83,312.06,724
84,311.17,738
85,312.61,735
86,312.80,719
87,312.87,728
88,311.63,732
89,312.29,732
90,313.40,722
91,312.44,727
92,311.65,733
93,311.40,738
94,311.35,737
95,312.44,725
96,312.59,734
97,312.34,722
98,312.10,728
99,312.85,730
100,311.63,737
101,312.65,730
102,311.75,733
103,311.50,733
104,312.41,727
105,312.36,720
106,310.63,741
107,312.26,726
108,311.51,728
109,311.50,745
110,312.81,722
111,312.08,731
112,313.38,721
113,312.66,729
114,313.12,730
115,310.97,740
116,312.03,738
117,311.82,742
118,312.34,728
119,311.70,727
120,312.06,734
121,312.12,735
122,312.75,722
123,311.26,736
124,312.41,732
125,311.78,730
126,313.23,718
127,312.39,726
128,312.99,720
129,311.64,730
130,312.39,727
131,311.62,735
132,313.09,719
133,309.11,750
134,310.95,744
135,311.75,735
136,311.94,726
137,313.81,715
138,312.62,735
139,311.50,737
140,312.54,721
141,310.75,730
142,312.15,731
143,312.73,732
144,313.52,715
145,312.48,725
146,311.28,733
147,311.94,733
