Metric,Value
Success Rate (%),99.80
Mean Reward,323.20
Median Reward,323.97
Std Reward,12.64
Min Reward,-38.20
Max Reward,328.80
Mean Length,907.58

Episode,Reward,Length
1,326.77,866
2,324.78,907
3,325.53,862
4,325.34,872
5,326.48,878
6,324.20,924
7,325.79,876
8,322.77,914
9,323.36,914
10,324.11,912
11,326.63,864
12,324.63,888
13,322.58,909
14,321.77,945
15,325.53,882
16,322.43,958
17,321.57,955
18,327.95,837
19,323.90,926
20,326.46,868
21,322.86,924
22,320.46,958
23,324.29,887
24,326.32,872
25,323.78,917
26,320.75,973
27,321.65,950
28,321.40,931
29,324.94,881
30,323.05,895
31,323.66,889
32,318.96,949
33,324.70,888
34,325.92,883
35,325.26,871
36,326.11,856
37,321.19,955
38,322.21,924
39,323.49,925
40,321.24,951
41,321.56,930
42,323.26,917
43,324.66,882
44,321.39,941
45,318.50,953
46,324.01,909
47,321.45,942
48,323.92,901
49,326.16,883
50,325.10,881
51,320.59,961
52,324.56,900
53,320.52,978
54,322.91,920
55,325.61,899
56,326.08,879
57,323.61,919
58,324.60,910
59,321.32,944
60,324.16,905
61,324.60,896
62,324.70,893
63,325.24,895
64,323.73,915
65,324.58,885
66,325.56,875
67,321.96,953
68,327.47,862
69,323.22,910
70,324.32,897
71,325.49,875
72,323.73,896
73,321.44,916
74,323.17,904
75,321.75,921
76,326.46,858
77,327.04,873
78,320.52,962
79,325.06,887
80,324.55,900
81,321.82,920
82,325.54,903
83,322.00,966
84,316.32,986
85,322.68,916
86,323.54,912
87,323.34,910
88,323.18,920
89,322.96,924
90,325.39,903
91,326.25,883
92,324.82,887
93,322.29,927
94,324.43,900
95,324.60,877
96,324.60,890
97,324.73,906
98,324.28,893
99,321.85,955
100,325.89,870
101,323.96,906
102,323.58,906
103,324.49,873
104,323.08,901
105,327.12,846
106,323.44,924
107,324.81,899
108,324.04,887
109,323.54,907
110,318.74,980
111,326.64,847
112,324.07,904
113,324.04,898
114,324.92,873
115,319.71,937
116,322.74,928
117,321.72,957
118,327.34,842
119,325.40,862
120,324.01,904
121,326.66,858
122,322.04,943
123,320.49,922
124,324.21,902
125,323.00,908
126,326.04,879
127,324.99,888
128,319.55,950
129,326.67,848
130,321.21,921
131,323.03,921
132,324.23,918
133,321.08,979
134,324.91,904
135,325.37,878
136,327.17,877
137,326.44,863
138,321.98,938
139,319.93,954
140,320.84,952
141,322.62,933
142,325.67,862
143,326.12,893
144,325.68,854
145,326.92,865
146,324.47,901
147,323.60,904
148,324.86,885
149,324.17,913
150,325.29,874
151,324.74,892
152,323.83,879
153,323.19,897
154,327.44,837
155,325.86,865
156,323.19,936
157,321.26,956
158,321.35,934
159,322.16,926
160,325.65,875
161,323.15,903
162,325.00,898
163,320.84,947
164,323.23,910
165,321.33,954
166,321.12,950
167,321.37,945
168,323.97,891
169,320.57,969
170,321.73,949
171,323.10,924
172,314.04,1028
173,320.15,977
174,319.60,973
175,323.74,889
176,325.55,886
177,325.93,893
178,323.68,893
179,320.47,953
180,320.70,904
181,326.83,856
182,323.15,914
183,327.32,848
184,321.13,926
185,326.50,869
186,325.30,864
187,323.63,907
188,322.02,911
189,320.35,951
190,322.04,957
191,327.18,865
192,320.87,939
193,323.61,895
194,320.56,949
195,323.72,916
196,327.18,862
197,324.31,906
198,326.14,858
199,319.78,949
200,323.66,888
201,326.58,857
202,320.73,931
203,322.88,932
204,322.49,912
205,324.77,880
206,324.30,879
207,322.70,916
208,323.55,918
209,323.83,886
210,324.00,906
211,323.45,907
212,310.94,1102
213,319.92,951
214,322.91,924
215,323.05,903
216,326.39,844
217,327.59,857
218,324.85,897
219,320.29,962
220,325.21,872
221,324.45,901
222,322.84,890
223,321.30,927
224,323.94,916
225,317.64,991
226,322.76,922
227,324.99,886
228,323.92,910
229,324.15,878
230,326.20,859
231,327.49,859
232,325.89,896
233,326.26,903
234,324.14,902
235,323.85,866
236,320.12,949
237,323.07,924
238,319.67,934
239,323.57,910
240,326.26,864
241,324.82,878
242,319.66,970
243,325.64,881
244,323.67,908
245,325.71,874
246,327.39,839
247,325.52,882
248,323.18,867
249,322.80,931
250,324.96,892
251,325.47,889
252,324.36,915
253,323.04,904
254,327.57,867
255,322.42,939
256,324.22,890
257,320.96,962
258,325.36,878
259,323.78,919
260,325.58,881
261,327.25,851
262,324.16,885
263,324.46,899
264,327.14,851
265,322.14,951
266,321.74,895
267,324.94,876
268,325.25,897
269,326.75,883
270,321.98,913
271,326.24,866
272,327.07,839
273,326.87,878
274,320.48,959
275,322.71,947
276,323.16,906
277,325.86,867
278,323.40,912
279,322.88,955
280,324.85,881
281,321.79,941
282,316.95,1042
283,322.92,931
284,320.71,969
285,320.08,966
286,325.76,885
287,325.34,889
288,324.01,911
289,325.36,870
290,325.30,874
291,322.84,921
292,324.61,885
293,325.28,884
294,322.31,934
295,315.60,1056
296,321.21,911
297,325.41,870
298,323.57,908
299,325.11,900
300,326.09,863
301,320.41,940
302,321.53,938
303,325.12,869
304,325.50,864
305,323.81,913
306,322.61,890
307,325.62,873
308,323.46,917
309,325.73,874
310,320.00,934
311,324.10,908
312,322.78,909
313,322.23,937
314,325.15,875
315,326.12,879
316,323.61,896
317,323.89,925
318,325.57,908
319,327.32,847
320,168.04,818
321,325.35,897
322,321.96,936
323,324.33,892
324,323.70,917
325,321.22,895
326,322.12,894
327,324.79,909
328,321.17,935
329,327.01,843
330,325.37,894
331,322.79,928
332,322.34,974
333,324.33,887
334,325.07,870
335,323.45,918
336,323.02,930
337,323.86,909
338,325.23,883
339,323.34,912
340,319.02,988
341,327.61,851
342,323.91,907
343,321.71,941
