Metric,Value
Success Rate (%),0.40
Mean Reward,-38.52
Median Reward,-57.30
Std Reward,60.44
Min Reward,-86.42
Max Reward,337.29
Mean Length,202.39

Episode,Reward,Length
1,-1.32,286
2,-86.03,78
3,2.92,349
4,-28.83,245
5,-58.55,166
6,-69.13,124
7,8.99,347
8,-86.29,77
9,11.66,308
10,-58.18,151
11,16.86,355
12,-26.48,218
13,67.25,493
14,-86.22,77
15,-82.93,90
16,134.27,612
17,19.94,351
18,-83.34,90
19,168.89,757
20,-85.81,78
21,-56.19,156
22,-72.11,112
23,-37.60,212
24,-86.15,77
25,27.69,382
26,-83.00,90
27,-74.05,105
28,40.51,394
29,-60.06,144
30,107.02,635
31,-83.31,90
32,-83.02,89
33,25.81,369
34,57.34,450
35,-4.47,300
36,17.42,355
37,-85.92,78
38,-86.38,77
39,3.78,306
40,-58.56,152
41,-24.14,238
42,-24.62,228
43,-85.81,78
44,34.99,413
45,36.71,425
46,49.44,405
47,-14.25,243
48,-85.82,78
49,-2.24,287
50,-83.47,90
51,-30.65,214
52,-85.81,78
53,-25.56,248
54,-65.08,132
55,-86.01,78
56,-66.89,121
57,43.94,408
58,-33.62,209
59,-86.03,78
60,-0.41,340
61,21.94,347
62,-83.01,90
63,66.64,518
64,117.71,550
65,70.78,481
66,-43.69,183
67,-85.85,78
68,62.80,498
69,-23.62,264
70,-83.38,90
71,20.15,369
72,-83.51,90
73,22.85,332
74,-82.83,89
75,-86.07,78
76,-85.95,78
77,-29.84,244
78,-18.43,263
79,-82.83,91
80,-83.44,90
81,-69.01,123
82,-83.02,89
83,13.72,379
84,-49.57,164
85,-39.62,190
86,-38.89,194
87,-86.12,78
88,24.80,363
89,-70.23,114
90,-43.05,188
91,-85.84,78
92,41.47,438
93,-82.65,87
94,-65.10,173
95,-85.83,78
96,54.51,445
97,-6.67,273
98,22.45,379
99,-54.31,177
100,-85.55,79
101,67.58,442
102,-83.02,90
103,-86.09,78
104,-86.01,78
105,-86.00,78
106,-72.21,111
107,-85.72,78
108,-1.13,310
109,-6.30,297
110,-49.17,175
111,-24.82,260
112,-31.91,202
113,-83.07,90
114,17.24,382
115,-47.58,176
116,-85.95,78
117,-60.12,154
118,-60.28,143
119,-86.02,78
120,-82.79,90
121,-86.03,78
122,-86.04,78
123,-67.01,121
124,-6.55,260
125,-85.92,78
126,-44.69,177
127,-85.90,78
128,-86.00,78
129,-86.06,78
130,34.44,412
131,-63.88,132
132,-35.46,231
133,-86.02,78
134,-82.90,90
135,10.50,323
136,336.17,923
137,-44.55,175
138,-85.87,78
139,-74.03,105
140,13.68,356
141,-85.95,78
142,-62.07,139
143,-86.42,77
144,41.12,455
145,-85.91,78
146,-85.82,78
147,-45.30,205
148,-82.85,91
149,-83.09,90
150,-82.73,90
151,-85.81,78
152,-49.46,165
153,44.82,446
154,-17.28,263
155,-61.65,140
156,-62.30,146
