Metric,Value
Algorithm,TD3
Environment,BipedalWalker-v3 (Easy)
Episodes,1000
Success Rate (%),0.00
Mean Reward,282.47
Median Reward,295.99
Std Reward,60.39
Min Reward,-125.23
Max Reward,299.29
Mean Length,844.64
Std Length,112.73

Episode,Reward,Length
1,297.55,830
2,298.38,815
3,295.65,841
4,296.18,832
5,296.58,829
6,295.27,851
7,296.44,843
8,295.38,841
9,295.66,834
10,293.88,866
11,297.14,832
12,45.57,628
13,295.62,839
14,296.48,839
15,294.95,847
16,297.31,831
17,294.51,857
18,297.18,829
19,296.36,817
20,295.33,830
21,296.34,835
22,294.41,846
23,295.46,853
24,295.11,833
25,296.97,816
26,296.54,839
27,293.77,851
28,161.92,1600
29,296.62,843
30,296.55,823
31,295.59,863
32,297.91,812
33,294.72,835
34,295.94,837
35,-10.56,1600
36,78.85,795
37,297.56,816
38,295.93,843
39,295.19,845
40,294.86,829
41,297.16,814
42,296.38,829
43,297.08,832
44,296.15,831
45,295.67,848
46,289.49,862
47,295.70,853
48,295.63,831
49,294.96,838
50,296.50,829
51,295.69,830
52,298.45,813
53,297.31,820
54,297.60,829
55,294.83,857
56,296.59,826
57,295.61,841
58,296.68,825
59,298.01,821
60,297.16,825
61,296.60,843
62,295.50,853
63,295.59,839
64,293.28,867
65,295.60,831
66,295.34,866
67,296.24,840
68,296.43,825
69,297.85,835
70,298.19,827
71,294.43,865
72,41.04,1600
73,271.69,1073
74,297.17,824
75,297.26,816
76,296.51,827
77,294.07,857
78,294.09,848
79,295.68,841
80,295.95,829
81,297.67,822
82,297.15,819
83,295.31,854
84,297.19,838
85,296.21,828
86,294.70,837
87,296.73,823
88,294.04,852
89,295.64,837
90,296.12,848
91,295.92,840
92,293.95,852
93,295.17,845
94,294.14,846
95,296.08,827
96,297.16,844
97,295.86,843
98,297.68,820
99,295.23,860
100,297.28,834
101,294.28,862
102,296.97,813
103,297.09,827
104,295.28,867
105,296.10,832
106,296.38,827
107,296.03,833
108,151.45,988
109,296.12,845
110,296.45,839
111,295.75,845
112,297.25,815
113,297.47,827
114,296.98,827
115,296.82,812
116,297.94,830
117,296.16,835
118,298.33,817
119,295.78,833
120,297.22,820
121,295.83,843
122,293.92,822
123,298.22,809
124,295.65,830
125,296.29,826
126,296.00,832
127,295.00,828
128,-68.99,1600
129,296.04,829
130,295.17,830
131,295.00,846
132,295.86,841
133,295.77,841
134,296.58,830
135,293.04,887
136,294.16,851
137,295.61,850
138,295.97,816
139,294.58,849
140,298.36,823
141,294.59,833
142,295.18,830
143,294.83,856
