Metric,Value
Algorithm,TD3
Environment,BipedalWalkerHardcore-v3 (Hardcore)
Episodes,1000
Success Rate (%),0.00
Mean Reward,234.24
Median Reward,249.41
Std Reward,49.23
Min Reward,-25.17
Max Reward,267.35
Mean Length,264.00
Std Length,45.64

Episode,Reward,Length
1,248.01,288
2,240.81,295
3,242.41,288
4,253.44,271
5,247.23,274
6,249.43,270
7,253.18,274
8,249.18,285
9,243.58,288
10,255.64,270
11,233.81,301
12,244.36,284
13,257.91,256
14,244.90,295
15,237.06,305
16,253.54,271
17,250.78,274
18,252.71,269
19,248.83,277
20,251.63,275
21,237.99,288
22,249.52,281
23,80.32,114
24,256.45,270
25,246.43,279
26,259.33,262
27,86.46,129
28,249.07,279
29,243.61,289
30,75.48,135
31,245.08,278
32,244.73,283
33,258.86,261
34,250.77,279
35,251.70,278
36,253.49,271
37,252.43,275
38,237.30,295
39,248.17,280
40,240.75,302
41,242.07,289
42,250.99,278
43,252.67,268
44,240.54,287
45,235.13,293
46,49.71,68
47,249.07,273
48,95.70,152
49,246.06,289
50,243.62,282
51,236.77,296
52,253.75,276
53,251.01,267
54,247.83,290
55,239.40,299
56,256.12,258
57,255.31,270
58,255.33,268
59,236.54,297
60,251.27,273
61,216.18,334
62,248.17,278
63,236.92,295
64,248.64,278
65,237.97,295
66,255.34,268
67,223.43,274
68,252.38,273
69,262.53,262
70,235.40,297
71,249.48,282
72,256.33,262
73,249.51,269
74,249.50,278
75,251.51,263
76,253.17,267
77,251.90,277
78,251.50,276
79,235.92,307
80,90.59,122
81,242.58,294
82,247.96,281
83,241.12,282
84,238.54,302
85,254.38,262
86,248.02,288
87,67.13,101
88,249.56,285
89,254.57,264
90,255.80,267
91,247.52,294
92,261.25,260
93,222.03,321
94,96.61,139
95,250.82,280
96,252.80,274
97,241.58,290
98,249.43,273
99,246.16,280
100,90.20,138
101,259.14,257
102,245.05,284
103,238.69,292
104,236.65,303
105,251.98,278
106,247.28,277
107,237.39,302
108,259.37,259
109,253.64,269
110,252.85,278
111,48.16,86
112,254.52,271
113,247.47,283
114,242.51,294
115,252.91,276
116,243.96,284
117,250.06,282
118,255.75,268
119,247.89,274
120,246.78,286
121,247.14,281
122,251.82,282
123,254.82,277
124,255.90,271
125,251.89,271
126,253.54,268
127,163.97,196
128,56.70,85
129,233.49,314
130,58.82,136
131,240.22,296
132,234.92,303
133,263.63,257
134,260.40,256
135,238.30,288
136,232.76,298
137,258.38,267
138,243.46,293
139,253.73,272
140,254.94,271
141,253.56,263
142,247.43,279
143,251.13,267
144,251.44,276
145,258.23,260
146,237.01,300
147,244.14,285
148,252.44,270
149,238.88,282
150,259.91,261
151,249.46,273
152,257.50,257
153,256.67,261
154,248.26,281
155,255.04,273
156,237.89,297
157,257.62,264
158,255.52,267
159,255.33,265
160,229.01,303
161,257.26,274
162,246.69,280
163,250.77,273
164,250.65,283
165,259.69,260
166,253.33,267
167,252.22,278
168,258.65,260
169,243.19,286
170,242.22,280
171,246.18,278
172,258.21,256
173,246.36,276
174,245.59,282
175,251.74,283
176,247.37,282
177,236.57,296
178,246.99,275
179,245.07,286
180,240.90,291
181,253.65,271
182,246.26,272
183,253.73,271
184,249.31,267
185,100.23,150
186,252.80,271
187,239.63,289
188,238.79,288
189,254.30,274
190,251.97,283
191,254.13,268
192,251.00,268
193,256.02,268
194,256.50,262
195,240.58,290
196,254.98,274
197,75.20,128
198,245.48,277
199,255.76,265
200,257.38,268
201,111.03,132
202,250.85,267
203,181.43,285
204,246.28,290
205,242.92,286
206,250.78,273
207,254.55,274
208,238.89,291
209,246.67,282
210,247.76,275
211,252.79,267
212,263.26,258
213,246.46,290
214,250.54,282
215,256.96,274
216,250.26,280
217,234.98,303
218,248.00,279
219,239.45,299
220,259.61,264
221,250.43,272
222,255.34,275
223,258.62,257
224,246.97,284
225,253.08,267
226,247.24,281
227,242.94,289
228,262.00,248
229,243.03,281
230,258.02,260
231,250.00,271
232,243.97,287
233,249.62,280
234,230.91,316
235,247.18,286
236,261.31,259
237,251.81,271
238,261.75,252
239,166.73,208
240,252.92,272
241,248.43,275
242,249.81,272
243,246.17,284
244,256.32,263
245,260.15,262
246,252.61,268
247,246.24,278
248,206.63,344
249,255.66,266
250,250.02,268
251,248.04,277
252,41.03,79
253,241.89,289
254,170.39,241
255,251.31,277
256,256.18,263
257,246.90,287
258,260.28,271
259,255.82,263
260,254.10,261
261,243.33,290
262,253.93,262
263,242.13,285
264,258.72,263
265,248.84,268
266,243.38,290
267,248.52,277
268,257.69,270
269,259.26,265
270,249.32,273
271,96.82,155
272,258.97,268
273,257.26,266
274,252.30,271
275,257.31,267
276,242.31,283
277,239.09,291
278,249.75,285
279,247.46,277
280,246.41,276
281,246.35,275
282,250.88,282
283,241.50,291
284,250.03,278
285,241.78,299
286,249.58,290
287,209.70,225
288,257.52,261
289,240.93,288
290,249.40,284
291,254.60,272
292,250.41,278
293,83.31,114
294,255.20,268
295,125.85,136
296,248.64,276
297,249.86,283
298,2.09,43
299,231.91,309
300,39.84,93
301,251.82,275
302,252.11,264
303,256.64,271
304,255.50,271
305,252.38,279
306,57.57,85
307,253.29,282
308,255.87,263
309,254.39,269
310,243.96,294
311,178.08,187
312,241.25,273
313,262.01,261
314,262.46,259
315,254.70,263
316,247.89,276
317,259.31,262
318,259.65,261
319,250.36,267
320,263.72,251
321,236.10,298
322,233.05,272
323,255.05,264
324,252.75,285
325,257.21,253
326,253.57,272
327,257.98,266
328,241.34,282
329,253.46,285
330,250.13,280
331,246.05,273
332,242.00,287
333,10.79,55
334,253.84,263
335,120.02,184
336,242.48,287
337,254.30,275
338,241.86,295
339,154.23,218
340,151.76,198
341,253.25,268
342,250.70,279
343,246.73,274
344,239.56,283
345,246.22,293
346,257.13,267
347,247.30,281
348,232.92,301
349,259.36,264
350,234.36,304
351,250.44,272
352,255.62,262
353,244.06,283
354,245.90,299
355,249.42,285
356,240.41,288
357,233.09,269
358,252.76,275
359,242.16,293
360,249.62,278
361,253.00,283
362,249.50,278
363,256.72,259
364,258.49,264
365,247.47,280
366,246.34,276
367,254.79,267
368,248.85,278
369,253.04,269
370,244.24,287
371,231.98,307
372,238.78,310
373,252.23,264
374,243.32,282
375,103.23,130
376,244.43,290
377,245.16,287
378,245.61,288
379,243.46,288
380,263.26,263
381,255.06,271
382,245.48,284
383,243.64,289
384,242.00,293
385,256.69,273
386,243.39,284
387,253.82,273
388,252.84,272
389,238.06,284
390,234.82,308
391,250.30,269
392,105.24,170
393,242.66,298
394,266.50,253
395,240.49,294
396,247.15,286
397,253.81,273
398,242.41,285
399,256.44,263
400,245.77,274
401,239.16,286
402,252.73,262
403,249.18,283
404,241.82,285
405,251.43,282
406,249.07,285
407,251.01,273
408,250.43,269
409,248.57,280
410,252.87,261
411,256.08,271
412,260.27,251
413,250.47,273
414,248.56,271
415,101.49,143
416,254.24,266
417,248.94,282
418,256.30,258
419,263.44,257
420,253.08,273
421,261.16,268
422,250.73,278
423,249.31,277
424,131.39,177
425,112.45,125
426,248.85,284
427,263.10,259
428,260.98,255
429,243.39,290
430,243.20,289
431,253.15,274
432,249.98,271
433,259.63,263
434,252.24,275
435,247.69,286
436,239.07,294
437,245.74,276
438,257.43,272
439,249.86,282
440,255.94,269
441,25.02,98
442,250.58,280
443,251.23,275
444,8.79,70
445,261.51,261
446,258.98,252
447,251.43,270
448,252.02,275
449,248.14,278
450,252.87,273
451,253.43,271
452,250.45,275
453,254.91,269
454,253.74,282
455,263.30,256
456,248.89,281
457,251.46,275
458,252.81,273
459,250.21,273
460,236.50,292
461,250.33,276
462,245.32,288
463,247.93,285
464,252.23,275
465,245.73,284
466,261.26,254
467,12.54,70
468,237.50,301
469,248.70,284
470,42.67,500
471,197.80,269
472,245.14,287
473,262.37,258
474,251.59,267
475,253.39,266
476,255.85,265
477,248.37,281
478,253.33,272
479,238.33,299
480,45.86,77
481,246.15,285
482,246.14,278
483,230.05,306
484,239.37,292
485,253.92,266
486,244.26,296
487,256.04,266
488,187.86,221
489,249.63,280
490,253.40,281
491,252.40,268
492,242.51,287
493,257.01,266
494,256.73,263
495,248.76,279
496,256.70,272
497,248.88,283
498,254.10,269
499,251.21,271
500,238.07,296
501,136.53,171
502,246.28,286
503,43.67,104
504,258.57,258
505,250.43,272
506,253.89,276
507,251.62,280
508,244.82,284
509,255.22,268
510,219.73,328
511,255.76,270
512,201.63,255
513,48.69,114
514,249.04,275
515,258.56,268
516,258.42,268
517,254.31,270
518,247.78,289
519,255.82,267
520,257.56,264
521,259.05,257
522,243.02,291
523,237.28,295
524,251.14,262
525,90.20,225
526,266.21,256
527,253.42,272
528,250.25,276
529,245.58,290
530,224.90,256
531,249.09,274
532,253.32,273
533,259.51,255
534,246.64,284
535,242.64,298
536,254.44,276
537,253.36,263
538,246.37,279
539,248.22,275
540,252.08,265
541,10.04,48
542,248.89,276
543,257.03,263
544,235.08,315
545,252.00,273
546,260.36,266
547,238.40,267
548,253.37,271
549,259.09,262
550,252.62,269
551,246.99,277
552,250.31,281
553,131.09,177
554,248.95,281
555,253.92,268
556,243.95,298
557,207.74,245
558,259.26,254
559,164.67,212
560,210.03,256
561,242.69,291
562,235.73,298
563,260.11,251
564,249.78,268
565,255.93,266
566,262.02,256
567,252.05,283
568,252.08,264
569,192.70,289
570,252.27,269
571,253.11,278
572,237.91,286
573,254.92,266
574,238.99,285
575,255.35,269
576,248.22,278
577,258.41,269
578,256.50,264
579,253.03,271
580,247.68,291
581,254.11,269
582,251.54,269
583,242.54,293
584,38.03,68
585,230.77,304
586,253.21,271
587,240.60,286
588,246.15,278
589,245.71,294
590,248.20,281
591,250.82,276
592,250.32,274
593,241.90,290
594,246.28,284
595,255.09,269
596,257.00,261
597,249.63,276
598,250.92,280
599,250.72,275
600,247.67,279
601,259.68,263
602,250.89,272
603,62.36,163
604,208.15,266
605,246.07,278
606,250.14,273
607,225.44,257
608,255.30,268
609,255.44,266
610,249.58,280
611,256.94,262
612,246.36,282
613,139.85,172
614,251.27,276
615,247.15,277
616,255.83,272
617,256.07,264
618,244.44,288
619,251.03,260
620,249.96,278
621,254.92,271
622,258.93,269
623,263.23,244
624,258.05,274
625,247.59,281
626,243.36,291
627,253.72,274
628,261.82,254
629,243.68,277
630,242.37,296
631,256.66,265
632,247.88,279
633,245.92,282
634,250.18,266
635,2.00,58
636,252.19,271
637,254.81,273
638,255.02,263
639,252.37,268
640,249.66,275
641,256.71,257
642,258.61,261
643,244.93,297
644,248.68,282
645,185.09,267
646,252.24,272
647,251.69,267
648,258.56,273
649,230.21,317
650,254.99,269
651,248.80,277
652,256.31,274
653,152.53,184
654,239.51,293
655,245.34,280
656,259.45,266
657,-25.17,71
658,14.33,49
659,252.64,277
660,255.40,279
661,243.76,293
662,237.08,306
663,241.01,295
664,147.85,219
665,254.41,267
666,248.26,275
667,245.92,288
668,252.57,277
669,255.18,270
670,256.25,259
671,252.18,272
672,239.43,284
673,101.36,183
674,253.11,267
675,170.02,183
676,65.81,88
677,240.52,295
678,244.81,279
679,240.62,290
680,248.32,276
681,100.42,150
682,243.03,285
683,237.36,305
684,138.47,198
685,248.49,284
686,256.54,265
687,254.47,272
688,258.17,267
689,258.74,259
690,248.15,282
691,221.68,337
692,251.21,277
693,248.00,273
694,201.75,213
695,255.23,267
696,258.20,269
697,241.49,294
698,251.71,278
699,251.85,275
700,248.35,269
701,242.81,283
702,248.54,286
703,264.04,258
704,248.28,275
705,76.57,116
706,247.71,281
707,245.23,293
708,261.26,252
709,178.09,244
710,248.64,281
711,258.18,258
712,251.05,274
713,247.32,280
714,253.47,271
715,247.79,292
716,255.55,271
717,251.02,276
718,239.60,300
719,259.87,263
720,249.30,270
721,249.68,275
722,251.18,271
723,250.14,285
724,207.53,270
725,250.55,261
726,240.54,290
727,233.21,310
728,238.73,299
729,252.83,277
730,255.06,283
731,252.28,263
732,256.41,270
733,247.11,268
734,253.19,268
735,23.06,61
736,245.51,269
737,246.29,292
738,257.64,262
739,246.10,274
740,250.64,272
741,245.92,283
742,259.36,261
743,254.82,270
744,255.52,267
745,259.38,270
746,251.30,277
747,5.20,42
748,258.36,262
749,118.24,143
750,255.42,269
751,254.15,268
752,252.95,271
753,241.78,284
754,249.88,283
755,239.56,296
756,252.13,270
757,253.17,274
758,254.41,269
759,247.57,282
760,253.76,267
761,245.89,283
762,255.98,258
763,253.69,266
764,250.35,274
765,243.55,289
766,260.21,262
767,252.22,281
768,245.47,286
769,238.59,296
770,238.17,299
771,254.01,269
772,250.26,271
773,243.51,278
774,251.83,272
775,263.17,252
776,250.70,274
777,252.16,283
778,250.81,283
779,253.60,268
780,253.72,268
781,256.54,264
782,267.35,247
783,247.03,276
784,257.35,262
785,247.86,288
786,172.10,194
787,255.01,263
788,258.81,262
789,249.35,279
790,193.53,256
791,251.32,274
792,256.17,267
