Metric,Value
Algorithm,TD3
Environment,CustomBipedalWalker-v3 (Hardcore with Bridges)
Episodes,1000
Success Rate (%),0.00
Mean Reward,231.98
Median Reward,244.26
Std Reward,42.58
Min Reward,-74.20
Max Reward,281.25
Mean Length,420.93
Std Length,77.62

Episode,Reward,Length
1,248.82,411
2,73.04,166
3,248.58,453
4,244.41,461
5,245.97,459
6,258.04,399
7,137.53,186
8,212.57,500
9,259.62,397
10,242.77,460
11,111.52,206
12,238.35,458
13,244.69,454
14,188.97,500
15,251.83,405
16,213.03,500
17,238.27,453
18,239.66,410
19,197.44,500
20,255.15,397
21,214.37,500
22,268.77,334
23,257.72,395
24,257.93,397
25,219.56,500
26,141.95,500
27,135.58,251
28,76.08,117
29,251.44,404
30,247.57,453
31,228.87,500
32,237.19,475
33,248.05,391
34,255.71,398
35,193.55,500
36,220.66,450
37,235.10,477
38,242.57,436
39,254.78,410
40,257.86,394
41,251.92,404
42,271.02,334
43,147.55,500
44,209.77,500
45,258.30,388
46,256.90,385
47,267.33,347
48,207.12,500
49,264.77,387
50,228.85,500
51,238.56,444
52,245.90,443
53,273.79,330
54,245.79,395
55,251.22,398
56,221.24,500
57,269.02,346
58,266.93,332
59,243.68,468
60,245.21,451
61,209.75,500
62,246.17,408
63,241.24,467
64,244.67,461
65,260.66,347
66,214.02,500
67,242.63,428
68,246.87,454
69,169.69,500
70,268.67,334
71,266.15,333
72,259.52,402
73,248.61,442
74,245.76,413
75,251.57,378
76,190.65,500
77,263.40,348
78,242.96,409
79,256.87,405
80,270.32,328
81,99.55,184
82,252.86,412
83,156.85,313
84,245.55,458
85,248.38,401
86,245.48,452
87,215.73,500
88,252.64,410
89,263.20,339
90,196.26,500
91,35.21,54
92,231.15,492
93,229.07,500
94,270.96,331
95,218.41,500
96,252.96,403
97,206.48,500
98,255.01,393
99,261.40,346
100,243.49,464
101,248.78,400
102,228.03,500
103,241.71,385
104,261.47,399
105,246.09,423
106,208.61,500
107,252.56,394
108,258.64,381
109,277.05,275
110,254.95,401
111,238.12,418
112,249.52,458
113,237.90,466
114,264.68,390
115,247.21,455
116,246.99,455
117,243.74,412
118,268.92,305
119,250.78,401
120,263.53,352
121,242.05,457
122,239.86,454
123,250.14,452
124,252.57,401
125,207.06,500
126,255.40,402
127,227.61,496
128,239.51,459
129,214.77,500
130,256.76,388
131,222.47,500
132,221.35,500
133,251.58,442
134,256.91,399
135,248.84,398
136,252.03,398
137,248.85,396
138,258.53,386
139,258.63,400
140,250.08,448
141,254.81,364
142,247.33,408
143,251.83,408
144,204.57,500
145,245.81,447
146,203.37,500
147,260.06,384
148,191.83,500
149,212.73,500
150,251.15,447
151,208.48,500
152,65.52,163
153,237.99,472
