Metric,Value
Algorithm,SAC
Success Rate (%),0.00
Mean Reward,250.41
Median Reward,272.50
Std Reward,61.37
Min Reward,-65.22
Max Reward,298.04
Mean Length,406.05

Episode,Reward,Length
1,258.46,500
2,277.32,444
3,268.15,455
4,277.43,391
5,284.29,391
6,270.64,392
7,271.93,453
8,259.11,500
9,178.19,374
10,260.58,500
11,232.39,500
12,238.38,500
13,267.09,428
14,290.23,317
15,292.42,248
16,273.85,399
17,269.48,445
18,275.92,447
19,239.75,500
20,236.52,500
21,214.52,500
22,282.97,384
23,260.83,500
24,277.37,387
25,282.14,332
26,269.83,445
27,254.37,500
28,271.82,463
29,278.13,379
30,271.70,467
31,277.85,446
32,288.86,329
33,285.49,333
34,275.43,453
35,225.06,500
36,200.36,500
37,277.95,447
38,246.03,500
39,244.18,500
40,281.84,390
41,235.38,500
42,194.10,352
43,291.96,303
44,282.36,380
45,218.57,500
46,289.16,378
47,223.88,500
48,273.56,445
49,276.70,392
50,282.59,384
51,266.87,499
52,284.07,378
53,274.63,394
54,25.43,123
55,274.21,396
56,290.15,321
57,266.89,449
58,275.23,399
59,277.53,442
60,268.27,457
61,278.46,405
62,193.80,342
63,289.73,267
64,279.96,391
65,266.65,254
66,133.15,218
67,16.30,37
68,286.58,374
69,217.70,500
70,277.71,380
71,276.33,453
72,289.23,332
73,273.67,436
74,249.10,500
75,284.65,316
76,173.31,377
77,265.23,468
78,274.80,446
79,278.79,439
80,283.37,368
81,272.94,443
82,272.54,451
83,275.38,393
84,224.90,500
85,-65.22,500
86,288.31,368
87,272.09,456
88,280.65,389
89,264.17,500
90,298.04,248
91,281.51,332
92,254.71,350
93,272.45,452
94,245.33,500
95,248.97,386
96,38.71,62
97,276.65,438
98,275.06,449
99,71.47,154
100,243.46,500
