Metric,Value
Algorithm,SAC
Success Rate (%),99.00
Mean Reward,317.95
Median Reward,320.18
Std Reward,21.06
Min Reward,108.57
Max Reward,322.17
Mean Length,711.32

Episode,Reward,Length
1,318.86,721
2,320.30,725
3,318.68,740
4,320.09,713
5,318.74,721
6,320.20,710
7,319.82,716
8,320.60,713
9,320.82,709
10,320.17,705
11,321.40,705
12,321.07,708
13,319.88,715
14,319.49,713
15,321.03,698
16,320.71,699
17,319.73,712
18,318.22,733
19,320.68,699
20,319.50,713
21,318.67,724
22,318.09,733
23,320.80,711
24,320.26,706
25,318.19,736
26,320.03,715
27,317.47,743
28,321.79,694
29,318.99,716
30,320.69,703
31,320.52,707
32,320.45,714
33,320.46,711
34,320.79,703
35,320.89,701
36,319.75,718
37,320.45,709
38,321.44,716
39,320.37,714
40,320.99,703
41,320.50,711
42,320.34,713
43,319.34,714
44,320.82,712
45,320.78,701
46,320.72,697
47,320.02,712
48,320.94,713
49,320.51,699
50,321.26,707
51,319.25,717
52,320.20,704
53,318.28,724
54,319.75,718
55,319.39,723
56,319.67,709
57,320.54,707
58,320.09,707
59,319.87,732
60,320.76,705
61,320.44,716
62,322.17,697
63,320.28,704
64,318.64,724
65,320.90,698
66,318.83,730
67,320.12,710
68,320.06,715
69,320.15,705
70,319.80,715
71,319.22,711
72,320.23,707
73,319.97,718
74,320.08,707
75,320.08,719
76,320.56,692
77,320.33,711
78,319.74,717
79,321.29,708
80,319.83,722
81,319.98,710
82,321.00,696
83,320.44,700
84,319.54,715
85,317.88,771
86,320.37,714
87,320.02,716
88,319.48,724
89,318.03,739
90,320.51,713
91,320.24,704
92,320.24,716
93,319.63,715
94,321.14,709
95,320.55,718
96,319.89,716
97,319.35,729
98,321.28,708
99,320.06,713
100,108.57,510
