Metric,Value
Algorithm,SAC
Success Rate (%),98.20
Mean Reward,315.90
Median Reward,320.09
Std Reward,32.27
Min Reward,-43.73
Max Reward,322.22
Mean Length,711.66

Episode,Reward,Length
1,318.86,721
2,320.30,725
3,318.68,740
4,320.09,713
5,318.74,721
6,320.20,710
7,319.82,716
8,320.60,713
9,320.82,709
10,320.17,705
11,321.40,705
12,321.07,708
13,319.88,715
14,319.49,713
15,321.03,698
16,320.71,699
17,319.73,712
18,318.22,733
19,320.68,699
20,319.50,713
21,318.67,724
22,318.09,733
23,320.80,711
24,320.26,706
25,318.19,736
26,320.03,715
27,317.47,743
28,321.79,694
29,318.99,716
30,320.69,703
31,320.52,707
32,320.45,714
33,320.46,711
34,320.79,703
35,320.89,701
36,319.75,718
37,320.45,709
38,321.44,716
39,320.37,714
40,320.99,703
41,320.50,711
42,320.34,713
43,319.34,714
44,320.82,712
45,320.78,701
46,320.72,697
47,320.02,712
48,320.94,713
49,320.51,699
50,321.26,707
51,319.25,717
52,320.20,704
53,318.28,724
54,319.75,718
55,319.39,723
56,319.67,709
57,320.54,707
58,320.09,707
59,319.87,732
60,320.76,705
61,320.44,716
62,322.17,697
63,320.28,704
64,318.64,724
65,320.90,698
66,318.83,730
67,320.12,710
68,320.06,715
69,320.15,705
70,319.80,715
71,319.22,711
72,320.23,707
73,319.97,718
74,320.08,707
75,320.08,719
76,320.56,692
77,320.33,711
78,319.74,717
79,321.29,708
80,319.83,722
81,319.98,710
82,321.00,696
83,320.44,700
84,319.54,715
85,317.88,771
86,320.37,714
87,320.02,716
88,319.48,724
89,318.03,739
90,320.51,713
91,320.24,704
92,320.24,716
93,319.63,715
94,321.14,709
95,320.55,718
96,319.89,716
97,319.35,729
98,321.28,708
99,320.06,713
100,108.57,510
101,320.34,715
102,320.88,702
103,319.15,735
104,319.05,729
105,320.30,715
106,320.44,705
107,319.54,717
108,320.76,712
109,321.19,705
110,320.03,714
111,320.28,706
112,320.40,710
113,318.44,736
114,320.41,710
115,321.19,703
116,319.74,727
117,320.63,716
118,320.24,709
119,320.09,712
120,319.85,718
121,319.38,724
122,320.23,710
123,320.36,724
124,319.83,714
125,320.88,711
126,320.47,711
127,319.91,706
128,320.91,707
129,319.53,708
130,320.76,704
131,318.88,730
132,319.92,714
133,320.73,714
134,321.11,698
135,320.08,725
136,318.60,724
137,320.07,718
138,321.22,701
139,321.40,707
140,319.74,704
141,319.25,712
142,321.40,706
143,318.97,723
144,320.84,712
145,319.66,718
146,320.38,711
147,321.42,701
148,319.17,714
149,319.25,719
150,318.66,736
151,320.41,707
152,319.50,710
153,320.63,713
154,320.90,711
155,320.32,710
156,320.57,711
157,319.37,718
158,320.55,707
159,319.90,706
160,320.16,713
161,321.09,706
162,320.51,708
163,-7.18,281
164,320.99,704
165,318.99,715
166,317.92,720
167,320.42,715
168,318.63,750
169,320.35,736
170,319.39,712
171,319.49,723
172,320.56,705
173,319.66,719
174,318.07,773
175,319.61,722
176,320.56,717
177,320.28,712
178,320.55,712
179,318.39,728
180,319.25,724
181,319.44,724
182,321.03,714
183,320.59,718
184,319.89,730
185,319.29,717
186,321.00,698
187,321.56,698
188,316.65,734
189,317.89,716
190,319.18,730
191,319.90,717
192,316.21,736
193,319.70,714
194,319.90,721
195,319.54,718
196,319.25,722
197,318.74,721
198,319.83,703
199,319.29,718
200,320.52,711
201,319.96,710
202,320.15,716
203,319.64,710
204,321.60,700
205,320.35,702
206,320.49,708
207,319.98,717
208,320.50,713
209,320.92,709
210,318.96,724
211,320.69,699
212,319.43,717
213,321.59,707
214,320.97,706
215,319.49,714
216,319.85,704
217,85.16,458
218,321.16,705
219,320.36,710
220,320.30,710
221,320.19,718
222,320.24,718
223,319.12,719
224,319.63,714
225,318.44,723
226,320.86,707
227,320.85,708
228,320.71,708
229,320.52,712
230,320.57,711
231,320.33,700
232,320.67,707
233,320.98,698
234,319.90,712
235,320.36,699
236,319.96,716
237,320.25,717
238,320.34,712
239,320.22,705
240,320.44,705
241,320.68,701
242,320.04,714
243,319.78,720
244,321.15,708
245,319.17,720
246,316.90,752
247,319.48,723
248,319.56,724
249,319.08,733
250,320.63,709
251,320.57,707
252,320.35,706
253,319.10,720
254,320.30,708
255,319.13,728
256,320.36,713
257,320.85,713
258,320.08,711
259,319.73,715
260,319.52,720
261,318.98,722
262,320.09,716
263,320.04,717
264,319.10,720
265,320.72,702
266,320.70,702
267,319.31,721
268,320.38,706
269,320.83,712
270,320.49,701
271,319.89,711
272,319.99,711
273,320.51,699
274,320.14,705
275,319.97,723
276,320.56,725
277,319.46,714
278,320.27,709
279,320.42,709
280,320.47,708
281,319.59,715
282,320.79,701
283,320.79,718
284,320.29,718
285,318.46,720
286,320.76,707
287,319.57,720
288,321.20,714
289,319.90,730
290,320.39,715
291,320.02,708
292,320.73,701
293,319.89,704
294,318.91,730
295,319.81,713
296,320.51,711
297,319.52,707
298,320.07,716
299,320.31,716
300,318.85,728
301,320.31,714
302,320.52,703
303,318.58,713
304,320.58,705
305,320.39,709
306,320.46,708
307,321.02,702
308,320.08,713
309,319.08,715
310,318.99,725
311,320.91,704
312,319.39,720
313,317.82,731
314,320.31,703
315,319.68,708
316,319.66,721
317,320.85,699
318,320.39,706
319,320.01,706
320,320.25,705
321,320.98,697
322,320.12,712
323,319.31,733
324,320.23,704
325,320.07,715
326,317.40,716
327,320.16,710
328,319.03,718
329,320.98,712
330,319.91,712
331,319.67,712
332,320.64,701
333,320.20,720
334,320.02,711
335,319.64,726
336,319.69,723
337,319.74,713
338,319.25,728
339,320.12,717
340,320.05,727
341,320.45,714
342,321.05,706
343,318.75,717
344,320.76,711
345,319.27,738
346,151.28,572
347,319.07,725
348,320.45,713
349,319.09,712
350,320.93,710
351,320.07,717
352,320.83,709
353,320.98,697
354,319.79,726
355,319.83,712
356,209.09,1600
357,319.35,716
358,319.04,720
359,319.32,723
360,318.61,739
361,318.36,726
362,320.27,696
363,319.89,708
364,319.52,723
365,320.72,712
366,320.22,703
367,320.67,699
368,320.34,703
369,320.49,705
370,320.41,704
371,317.85,731
372,320.00,711
373,320.57,715
374,320.26,715
375,319.63,701
376,318.77,715
377,320.01,717
378,319.40,713
379,320.28,712
380,320.28,710
381,319.73,721
382,319.87,714
383,319.99,713
384,319.95,713
385,320.96,712
386,321.25,708
387,320.44,700
388,320.47,704
389,321.04,713
390,319.26,709
391,319.91,715
392,319.02,722
393,319.99,713
394,319.91,711
395,321.23,701
396,319.89,712
397,320.45,715
398,319.74,709
399,319.81,713
400,319.90,714
401,319.17,721
402,317.62,742
403,320.07,720
404,320.42,715
405,320.32,717
406,320.56,703
407,319.09,730
408,321.06,703
409,320.08,719
410,319.79,717
411,319.52,713
412,320.42,718
413,319.97,701
414,318.86,716
415,319.44,711
416,320.43,702
417,318.77,737
418,320.79,718
419,316.65,732
420,320.42,711
421,319.93,711
422,319.27,737
423,320.73,709
424,320.18,720
425,319.19,723
426,320.91,712
427,320.69,716
428,320.86,709
429,320.41,710
430,319.61,718
431,320.19,706
432,320.63,717
433,319.34,728
434,319.72,713
435,319.96,722
436,320.19,710
437,318.04,728
438,320.37,715
439,319.56,726
440,320.27,700
441,319.42,718
442,320.22,716
443,320.77,706
444,320.76,706
445,320.99,697
446,320.17,716
447,320.50,707
448,319.89,726
449,321.09,709
450,319.43,711
451,318.88,713
452,319.93,707
453,319.47,720
454,320.71,704
455,320.64,701
456,320.27,701
457,127.95,536
458,315.40,743
459,319.74,709
460,319.51,723
461,320.69,711
462,320.54,708
463,319.68,705
464,321.07,707
465,320.33,706
466,320.10,715
467,320.32,726
468,319.90,711
469,320.95,705
470,320.41,717
471,319.94,723
472,320.31,707
473,320.67,718
474,320.51,707
475,319.40,722
476,317.72,719
477,321.43,702
478,321.65,701
479,320.35,713
480,317.52,718
481,319.55,709
482,319.03,727
483,320.06,709
484,320.60,699
485,88.06,458
486,320.07,704
487,320.78,708
488,320.16,709
489,320.54,709
490,321.40,701
491,318.49,749
492,319.81,709
493,319.65,711
494,319.12,714
495,320.08,704
496,318.99,712
497,319.80,712
498,320.82,713
499,320.20,708
500,318.30,731
501,319.27,718
502,318.91,719
503,320.18,718
504,318.85,731
505,319.21,716
506,320.22,709
507,177.36,661
508,319.44,722
509,319.22,724
510,319.15,725
511,319.93,714
512,321.15,707
513,319.36,719
514,320.47,705
515,319.90,716
516,320.32,713
517,319.57,713
518,320.88,697
519,320.60,706
520,320.03,708
521,320.07,706
522,320.67,711
523,319.84,722
524,319.97,702
525,320.59,713
526,318.91,723
527,320.43,709
528,320.60,718
529,320.51,710
