Metric,Value
Algorithm,SAC
Success Rate (%),1.00
Mean Reward,284.40
Median Reward,288.99
Std Reward,28.23
Min Reward,31.87
Max Reward,300.32
Mean Length,256.67

Episode,Reward,Length
1,282.89,274
2,290.22,250
3,289.73,255
4,293.89,255
5,287.66,267
6,291.82,258
7,295.56,255
8,288.83,248
9,291.48,255
10,288.24,273
11,290.23,265
12,276.35,275
13,293.22,257
14,292.45,249
15,291.47,249
16,291.55,256
17,292.61,250
18,297.47,248
19,297.54,236
20,289.14,264
21,285.09,262
22,288.52,261
23,290.65,260
24,293.11,255
25,294.67,257
26,292.01,247
27,287.64,259
28,278.06,264
29,298.95,249
30,286.06,276
31,281.75,266
32,289.13,248
33,280.69,259
34,291.98,264
35,286.00,269
36,278.15,266
37,290.60,259
38,276.43,266
39,293.73,257
40,274.79,272
41,279.76,266
42,295.02,256
43,292.59,261
44,293.01,254
45,292.48,257
46,288.55,263
47,285.54,269
48,284.53,266
49,297.59,251
50,291.75,250
51,293.79,257
52,291.12,261
53,278.23,275
54,283.58,267
55,282.77,269
56,295.28,255
57,282.57,275
58,288.96,264
59,291.76,264
60,295.27,256
61,279.19,271
62,31.87,68
63,291.62,249
64,286.09,260
65,286.99,249
66,289.51,262
67,288.89,255
68,300.32,250
69,288.02,253
70,291.21,258
71,287.90,257
72,289.62,255
73,274.78,262
74,285.89,253
75,293.31,263
76,287.09,253
77,287.09,264
78,289.03,261
79,274.55,274
80,281.83,271
81,283.93,274
82,180.15,189
83,291.24,251
84,289.01,249
85,292.95,253
86,263.83,253
87,291.56,265
88,291.78,253
89,291.70,253
90,285.14,261
91,283.80,261
92,294.87,253
93,284.56,256
94,282.95,262
95,285.13,257
96,285.15,258
97,280.67,266
98,295.36,250
99,280.65,264
100,286.38,260
