Metric,Value
Algorithm,SAC
Success Rate (%),0.30
Mean Reward,284.15
Median Reward,288.15
Std Reward,25.63
Min Reward,10.90
Max Reward,301.64
Mean Length,253.27

Episode,Reward,Length
1,285.38,256
2,286.29,257
3,289.65,251
4,292.32,250
5,287.84,257
6,291.24,253
7,291.07,249
8,289.34,249
9,290.36,246
10,285.12,265
11,286.51,259
12,279.86,257
13,291.21,258
14,291.26,242
15,288.69,253
16,292.92,251
17,293.95,244
18,297.05,240
19,298.37,243
20,292.05,257
21,287.44,253
22,286.46,255
23,284.65,257
24,295.44,249
25,295.05,259
26,290.81,246
27,285.22,258
28,277.73,264
29,301.64,247
30,290.15,260
31,217.11,223
32,286.64,258
33,281.74,261
34,173.23,177
35,283.88,262
36,279.92,257
37,288.70,264
38,185.09,186
39,294.79,252
40,278.10,254
41,278.69,263
42,294.10,248
43,286.74,265
44,289.07,261
45,292.81,248
46,286.86,265
47,281.34,268
48,157.93,198
49,293.24,237
50,294.13,247
51,290.56,253
52,287.57,258
53,284.19,260
54,283.85,259
55,286.17,262
56,296.15,255
57,284.61,262
58,287.75,262
59,285.26,258
60,295.27,247
61,280.38,263
62,280.39,271
63,291.34,245
64,278.75,254
65,287.91,250
66,292.08,255
67,285.63,256
68,299.04,249
69,283.02,266
70,292.91,256
71,284.33,255
72,286.79,249
73,275.87,262
74,284.63,265
75,286.02,258
76,286.16,261
77,280.89,266
78,288.51,263
79,284.48,265
80,282.35,267
81,285.41,259
82,275.28,261
83,283.44,259
84,290.74,251
85,290.22,256
86,285.33,255
87,292.41,264
88,289.50,251
89,291.48,255
90,284.83,252
91,285.46,250
92,297.54,249
93,281.69,255
94,280.69,255
95,274.40,265
96,278.35,254
97,278.55,264
98,293.46,250
99,284.62,255
100,284.46,261
101,281.81,255
102,285.65,249
103,293.21,251
104,293.98,251
105,279.07,261
106,294.95,249
107,292.16,263
108,282.30,261
109,289.84,257
110,295.19,245
111,288.95,249
112,286.32,253
113,294.64,254
114,290.06,254
115,283.77,270
116,279.12,266
117,284.70,262
118,283.83,249
119,293.90,260
120,288.95,249
121,291.90,250
122,293.69,257
123,290.47,257
124,283.66,267
125,294.36,250
126,287.72,251
127,288.17,241
128,287.15,246
129,296.91,243
130,293.75,252
131,286.96,249
132,284.75,251
133,273.61,265
134,276.70,256
135,282.85,265
136,283.01,264
137,297.05,249
138,294.59,247
139,293.48,248
140,289.89,247
141,295.56,247
142,288.13,259
143,283.11,266
144,280.53,260
145,276.96,276
146,285.06,266
147,286.71,259
148,288.87,260
